produto,sigla_uf,data_coleta,preco_medio,preco_minimo,preco_maximo
Gasolina,RJ,2022-01-19,7.3741860465116279069767,7.090000000000000000,7.790000000000000000
Gasolina,RJ,2022-05-03,7.7853012048192771084337,7.390000000000000000,8.440000000000000000
Gasolina,RJ,2022-12-21,5.0089795918367346938776,4.690000000000000000,5.390000000000000000
Gasolina,SP,2022-07-27,5.5892014051522248243560,4.950000000000000000,6.590000000000000000
Gasolina,RJ,2022-05-26,7.9057500000000000000000,7.490000000000000000,8.440000000000000000
Gasolina,RJ,2022-06-21,7.8611805555555555555556,7.090000000000000000,8.690000000000000000
Gasolina,RJ,2022-04-01,8.3500000000000000000000,8.290000000000000000,8.390000000000000000
Gasolina,SP,2022-06-30,6.4580147058823529411765,5.580000000000000000,7.540000000000000000
Gasolina,SP,2022-08-03,5.4642261904761904761905,4.870000000000000000,6.190000000000000000
Gasolina,RJ,2022-01-31,7.1973529411764705882353,6.840000000000000000,7.590000000000000000
Gasolina,RJ,2022-04-19,7.8626666666666666666667,7.390000000000000000,8.390000000000000000
Gasolina,RJ,2022-07-18,6.0163513513513513513514,5.390000000000000000,6.590000000000000000
Gasolina,RJ,2022-10-19,4.9354545454545454545455,4.780000000000000000,5.190000000000000000
Gasolina,RJ,2022-03-21,7.6522222222222222222222,6.990000000000000000,8.190000000000000000
Gasolina,RJ,2022-05-31,7.8322330097087378640777,7.250000000000000000,8.490000000000000000
Gasolina,RJ,2022-11-06,4.9900000000000000000000,4.990000000000000000,4.990000000000000000
Gasolina,SP,2022-04-05,6.8462573099415204678363,6.150000000000000000,7.390000000000000000
Gasolina,SP,2022-11-07,4.9050803858520900321543,4.260000000000000000,6.990000000000000000
Gasolina,RJ,2022-01-20,7.3735294117647058823529,7.040000000000000000,7.680000000000000000
Gasolina,RJ,2022-01-11,7.2077027027027027027027,6.810000000000000000,7.890000000000000000
Gasolina,SP,2022-08-29,5.0849659863945578231293,4.150000000000000000,5.990000000000000000
Gasolina,RJ,2022-04-14,7.9061842105263157894737,7.380000000000000000,8.440000000000000000
Gasolina,SP,2022-04-12,6.9262626262626262626263,6.370000000000000000,8.490000000000000000
Gasolina,RJ,2022-03-24,7.8760000000000000000000,7.330000000000000000,8.360000000000000000
Gasolina,RJ,2022-10-24,4.9981188118811881188119,4.570000000000000000,5.500000000000000000
Gasolina,RJ,2022-10-26,5.0358974358974358974359,4.690000000000000000,5.490000000000000000
Gasolina,RJ,2022-04-08,8.0800000000000000000000,7.860000000000000000,8.390000000000000000
Gasolina,RJ,2022-10-11,4.8618181818181818181818,4.640000000000000000,5.190000000000000000
Gasolina,SP,2022-04-15,6.7550000000000000000000,6.470000000000000000,7.190000000000000000
Gasolina,SP,2022-12-13,4.8317241379310344827586,4.090000000000000000,5.590000000000000000
Gasolina,SP,2022-12-15,4.8293043478260869565217,4.290000000000000000,5.590000000000000000
Gasolina,RJ,2022-11-02,5.0134482758620689655172,4.790000000000000000,5.290000000000000000
Gasolina,SP,2022-03-15,6.8749859943977591036415,5.990000000000000000,8.290000000000000000
Gasolina,SP,2022-11-14,4.9127390180878552971576,4.380000000000000000,6.990000000000000000
Gasolina,SP,2022-08-02,5.4921695760598503740648,4.850000000000000000,6.990000000000000000
Gasolina,RJ,2022-09-09,5.0760000000000000000000,4.890000000000000000,5.260000000000000000
Gasolina,RJ,2022-11-18,5.0990000000000000000000,4.940000000000000000,5.380000000000000000
Gasolina,SP,2022-05-30,6.9179818594104308390023,6.350000000000000000,7.990000000000000000
Gasolina,SP,2022-08-15,5.3494970986460348162476,4.790000000000000000,6.990000000000000000
Gasolina,RJ,2022-12-29,5.0124137931034482758621,4.750000000000000000,5.490000000000000000
Gasolina,SP,2022-10-20,4.7818811881188118811881,4.440000000000000000,5.390000000000000000
Gasolina,SP,2022-10-25,4.8580544747081712062257,4.340000000000000000,7.340000000000000000
Gasolina,RJ,2022-04-28,7.9338888888888888888889,7.490000000000000000,8.460000000000000000
Gasolina,RJ,2022-11-14,5.0271578947368421052632,4.790000000000000000,5.590000000000000000
Gasolina,SP,2022-01-20,6.3253125000000000000000,5.570000000000000000,6.990000000000000000
Gasolina,RJ,2022-12-22,4.8930769230769230769231,4.780000000000000000,4.990000000000000000
Gasolina,RJ,2022-11-07,5.0185897435897435897436,4.720000000000000000,5.590000000000000000
Gasolina,SP,2022-07-12,5.9228321678321678321678,5.350000000000000000,6.990000000000000000
Gasolina,RJ,2022-01-06,7.2030612244897959183673,6.880000000000000000,7.620000000000000000
Gasolina,RJ,2022-11-17,5.0447826086956521739130,4.640000000000000000,5.590000000000000000
Gasolina,SP,2022-05-03,6.9647107438016528925620,6.290000000000000000,8.590000000000000000
Gasolina,SP,2022-12-28,4.8820930232558139534884,4.380000000000000000,6.990000000000000000
Gasolina,RJ,2022-01-17,7.1759200000000000000000,6.790000000000000000,7.990000000000000000
Gasolina,RJ,2022-05-30,7.8174137931034482758621,7.250000000000000000,8.390000000000000000
Gasolina,RJ,2022-06-30,7.6525373134328358208955,6.890000000000000000,8.190000000000000000
Gasolina,SP,2022-01-06,6.2766528925619834710744,5.780000000000000000,6.690000000000000000
Gasolina,RJ,2022-03-07,7.1734285714285714285714,6.490000000000000000,7.590000000000000000
Gasolina,RJ,2022-04-12,7.7654098360655737704918,7.390000000000000000,8.390000000000000000
Gasolina,RJ,2022-11-08,5.0383636363636363636364,4.640000000000000000,5.790000000000000000
Gasolina,SP,2022-01-25,6.3718918918918918918919,5.790000000000000000,6.990000000000000000
Gasolina,SP,2022-01-27,6.3247080291970802919708,5.570000000000000000,7.590000000000000000
Gasolina,SP,2022-03-07,6.2965750000000000000000,5.840000000000000000,6.950000000000000000
Gasolina,SP,2022-06-22,6.9160202020202020202020,6.170000000000000000,8.190000000000000000
Gasolina,RJ,2022-03-10,7.2147435897435897435897,6.690000000000000000,7.790000000000000000
Gasolina,RJ,2022-03-28,7.7671929824561403508772,6.990000000000000000,8.290000000000000000
Gasolina,RJ,2022-07-05,6.5422352941176470588235,5.990000000000000000,7.870000000000000000
Gasolina,RJ,2022-09-12,5.1600000000000000000000,4.590000000000000000,5.980000000000000000
Gasolina,RJ,2022-03-01,7.1878947368421052631579,6.690000000000000000,7.690000000000000000
Gasolina,SP,2022-02-25,6.6625000000000000000000,6.620000000000000000,6.690000000000000000
Gasolina,SP,2022-04-13,6.9481491002570694087404,6.360000000000000000,8.390000000000000000
Gasolina,SP,2022-06-24,7.2000000000000000000000,7.200000000000000000,7.200000000000000000
Gasolina,SP,2022-10-13,4.7400000000000000000000,4.390000000000000000,5.390000000000000000
Gasolina,RJ,2022-05-09,7.8875000000000000000000,7.450000000000000000,8.990000000000000000
Gasolina,RJ,2022-08-18,5.5734489795918367346939,5.190000000000000000,5.960000000000000000
Gasolina,SP,2022-06-27,6.8828473804100227790433,5.990000000000000000,8.890000000000000000
Gasolina,SP,2022-08-04,5.5046798029556650246305,4.850000000000000000,6.990000000000000000
Gasolina,SP,2022-03-14,6.8438662790697674418605,5.890000000000000000,7.680000000000000000
Gasolina,SP,2022-03-21,6.8438995215311004784689,6.090000000000000000,7.790000000000000000
Gasolina,RJ,2022-01-03,7.2039705882352941176471,6.490000000000000000,7.890000000000000000
Gasolina,RJ,2022-03-15,7.7645714285714285714286,7.240000000000000000,8.380000000000000000
Gasolina,RJ,2022-05-11,7.7250000000000000000000,7.140000000000000000,8.390000000000000000
Gasolina,RJ,2022-07-13,6.0490361445783132530120,5.590000000000000000,6.560000000000000000
Gasolina,SP,2022-12-22,4.8154477611940298507463,4.380000000000000000,5.590000000000000000
Gasolina,RJ,2022-06-14,7.7593529411764705882353,7.090000000000000000,8.490000000000000000
Gasolina,SP,2022-02-17,6.3290438247011952191235,5.570000000000000000,6.890000000000000000
Gasolina,SP,2022-10-31,4.8727208480565371024735,4.350000000000000000,6.990000000000000000
Gasolina,SP,2022-11-15,4.9871929824561403508772,4.350000000000000000,6.890000000000000000
Gasolina,RJ,2022-06-29,7.7484090909090909090909,7.190000000000000000,8.690000000000000000
Gasolina,RJ,2022-07-26,5.8791443850267379679144,5.290000000000000000,6.490000000000000000
Gasolina,RJ,2022-08-29,5.5894545454545454545455,4.990000000000000000,6.290000000000000000
Gasolina,RJ,2022-10-27,5.2280000000000000000000,4.790000000000000000,5.480000000000000000
Gasolina,SP,2022-04-27,6.9996024464831804281346,6.370000000000000000,7.890000000000000000
Gasolina,SP,2022-06-06,6.8594021739130434782609,6.280000000000000000,7.990000000000000000
Gasolina,RJ,2022-03-04,7.4607142857142857142857,6.890000000000000000,7.790000000000000000
Gasolina,RJ,2022-08-01,5.7902564102564102564103,5.350000000000000000,6.990000000000000000
Gasolina,SP,2022-03-01,6.2642711864406779661017,5.570000000000000000,6.890000000000000000
Gasolina,SP,2022-09-26,4.6902597402597402597403,4.150000000000000000,6.990000000000000000
Gasolina,RJ,2022-04-18,7.8770731707317073170732,7.350000000000000000,8.380000000000000000
Gasolina,RJ,2022-05-16,7.8701075268817204301075,7.440000000000000000,8.390000000000000000
Gasolina,RJ,2022-07-14,5.9321311475409836065574,5.690000000000000000,6.290000000000000000
Gasolina,RJ,2022-09-07,5.0650793650793650793651,4.750000000000000000,6.790000000000000000
Gasolina,RJ,2022-12-07,5.1327160493827160493827,4.870000000000000000,5.740000000000000000
